genome	between_shared_rate	n_between_shared	n_between_pairs	is_generalist
P_bivia.fna	0.25	1	4	True
Megasphaera_lornae.fna	0.16666666666666666	2	12	True
Aerococcus_christensenii.fna	0.15384615384615385	2	13	True
Fannyhessea_vaginae.fna	0.1111111111111111	2	18	True
Gardnerella_leopoldii.fna	0.09523809523809523	2	21	False
Sneathia_vaginalis.fna	0.06666666666666667	1	15	False
G_vaginalis.fna	0.04	2	50	False
L_iners.fna	0.03571428571428571	3	84	False
Gardnerella_piotii.fna	0.027777777777777776	1	36	False
Gardnerella_swidsinskii.fna	0.0	0	8	False
Mobiluncus_curtisii.fna	0.0	0	1	False
Prevotella_amnii.fna	0.0	0	1	False
