subject	genome	direction	earliest_cervix_tp	earliest_vagina_tp	n_timepoints	note
2	L_iners.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
7	Prevotella_amnii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
7	Gardnerella_swidsinskii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
7	Sneathia_vaginalis.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
7	Gardnerella_piotii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
8	L_iners.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
23	L_iners.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
24	L_iners.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
26	L_iners.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
28	Sneathia_vaginalis.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
28	Fannyhessea_vaginae.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
28	L_iners.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
28	Gardnerella_piotii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
34	L_crispatus.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
35	Gardnerella_leopoldii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
39	Prevotella_amnii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
39	Sneathia_vaginalis.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
39	Megasphaera_lornae.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
39	Gardnerella_leopoldii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
39	Gardnerella_piotii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
39	G_vaginalis.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
39	Gardnerella_swidsinskii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
41	Gardnerella_piotii.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
41	L_iners.fna	direction_unresolved			1	insufficient timepoints (needs longitudinal)
