genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared	subject1	subject2	sample1	sample2
B_fragilis.fna	SRR6748006.bam	SRR6748048.bam	0.8819409072688716	31583	160	76	0.9975936421492576	0.994933983472121	0.0060253352919854	M4	P2	SRR6748006	SRR6748048
F_prausnitzii.fna	SRR6748006.bam	SRR6748048.bam	0.4578674791115408	95582	997	57	0.9994036534075452	0.989569165742504	0.030562933929103	M4	P2	SRR6748006	SRR6748048
G_vaginalis.fna	SRR6748006.bam	SRR6748048.bam		0	0	0			0.0	M4	P2	SRR6748006	SRR6748048
L_crispatus.fna	SRR6748006.bam	SRR6748048.bam	0.4398275862068965	2551	7	0	1.0	0.9972559780478244	0.0012609604950122	M4	P2	SRR6748006	SRR6748048
L_iners.fna	SRR6748006.bam	SRR6748048.bam		0	0	0			0.0	M4	P2	SRR6748006	SRR6748048
L_jensenii.fna	SRR6748006.bam	SRR6748048.bam	0.3666666666666666	275	3	0	1.0	0.9890909090909092	0.0001643803845783	M4	P2	SRR6748006	SRR6748048
P_bivia.fna	SRR6748006.bam	SRR6748048.bam	0.3478076682634501	30097	129	56	0.9981393494368208	0.9957138585241054	0.0119373894888146	M4	P2	SRR6748006	SRR6748048
P_vulgatus.fna	SRR6748006.bam	SRR6748048.bam	0.8886706535483895	4071170	15436	6711	0.998351579521366	0.9962084609583975	0.7884991233131307	M4	P2	SRR6748006	SRR6748048
B_fragilis.fna	SRR6748006.bam	SRR6748155.bam	0.5683616858453577	44227	494	110	0.997512831528252	0.9888303524996044	0.0084375298090314	M4	T18	SRR6748006	SRR6748155
F_prausnitzii.fna	SRR6748006.bam	SRR6748155.bam	0.5370444879995118	161723	1865	159	0.9990168374319052	0.988467935915114	0.0522421351557657	M4	T18	SRR6748006	SRR6748155
G_vaginalis.fna	SRR6748006.bam	SRR6748155.bam		0	0	0			0.0	M4	T18	SRR6748006	SRR6748155
L_crispatus.fna	SRR6748006.bam	SRR6748155.bam	0.6147028154327424	2358	17	5	0.9978795589482612	0.9927905004240882	0.0011655605046016	M4	T18	SRR6748006	SRR6748155
L_iners.fna	SRR6748006.bam	SRR6748155.bam	0.0014731116651018	455	5	1	0.9978021978021978	0.989010989010989	0.0003450367786456	M4	T18	SRR6748006	SRR6748155
L_jensenii.fna	SRR6748006.bam	SRR6748155.bam	0.4590984974958264	275	6	0	1.0	0.9781818181818182	0.0001643803845783	M4	T18	SRR6748006	SRR6748155
P_bivia.fna	SRR6748006.bam	SRR6748155.bam	0.0400815473925735	75359	896	237	0.9968550538091004	0.9881102456242784	0.0298896811804359	M4	T18	SRR6748006	SRR6748155
P_vulgatus.fna	SRR6748006.bam	SRR6748155.bam	0.6380392521225349	2726239	62826	35037	0.987148228750304	0.9769550652015468	0.5280145661915533	M4	T18	SRR6748006	SRR6748155
B_fragilis.fna	SRR6748006.bam	SRR6748005.bam	0.6608571572841776	36547	234	100	0.997263797302104	0.9935972856869236	0.0069723562966213	M4	T7	SRR6748006	SRR6748005
F_prausnitzii.fna	SRR6748006.bam	SRR6748005.bam	0.3301834360870453	202939	2557	276	0.9986399854143364	0.987400154726297	0.06489099672154	M4	T7	SRR6748006	SRR6748005
G_vaginalis.fna	SRR6748006.bam	SRR6748005.bam		0	0	0			0.0	M4	T7	SRR6748006	SRR6748005
L_crispatus.fna	SRR6748006.bam	SRR6748005.bam	0.4362295376866343	2425	12	0	1.0	0.9950515463917524	0.0011986786359877	M4	T7	SRR6748006	SRR6748005
L_iners.fna	SRR6748006.bam	SRR6748005.bam	0.097786374382119	455	15	9	0.9802197802197802	0.967032967032967	0.0003450367786456	M4	T7	SRR6748006	SRR6748005
L_jensenii.fna	SRR6748006.bam	SRR6748005.bam	0.5683453237410072	237	5	1	0.9957805907172996	0.978902953586498	0.0001416660041639	M4	T7	SRR6748006	SRR6748005
P_bivia.fna	SRR6748006.bam	SRR6748005.bam	0.0423806477015341	78758	1013	370	0.9953020645521724	0.9871378145712182	0.0312378284001748	M4	T7	SRR6748006	SRR6748005
P_vulgatus.fna	SRR6748006.bam	SRR6748005.bam	0.8610163919728643	3745417	18834	15081	0.9959734790545351	0.9949714544468612	0.7254076889302329	M4	T7	SRR6748006	SRR6748005
B_fragilis.fna	SRR6748048.bam	SRR6748155.bam	0.7037948879043601	30325	252	144	0.9952514427040396	0.9916900247320692	0.0057853368182078	P2	T18	SRR6748048	SRR6748155
F_prausnitzii.fna	SRR6748048.bam	SRR6748155.bam	0.4390409500914454	82395	996	107	0.9987013775107711	0.9879118878572728	0.0266164412369255	P2	T18	SRR6748048	SRR6748155
G_vaginalis.fna	SRR6748048.bam	SRR6748155.bam		0	0	0			0.0	P2	T18	SRR6748048	SRR6748155
L_crispatus.fna	SRR6748048.bam	SRR6748155.bam	0.4552034428794992	2327	18	1	0.9995702621400946	0.9922647185217016	0.0011502371900797	P2	T18	SRR6748048	SRR6748155
L_iners.fna	SRR6748048.bam	SRR6748155.bam		0	0	0			0.0	P2	T18	SRR6748048	SRR6748155
L_jensenii.fna	SRR6748048.bam	SRR6748155.bam	0.7680209698558322	586	13	0	1.0	0.9778156996587032	0.0003502796558651	P2	T18	SRR6748048	SRR6748155
P_bivia.fna	SRR6748048.bam	SRR6748155.bam	0.0212578695365869	39532	500	321	0.991879995952646	0.9873520186178286	0.0156795986733501	P2	T18	SRR6748048	SRR6748155
P_vulgatus.fna	SRR6748048.bam	SRR6748155.bam	0.6018721356890655	2782621	63788	57342	0.9793928098724188	0.9770762888657852	0.5389345615665048	P2	T18	SRR6748048	SRR6748155
B_fragilis.fna	SRR6748048.bam	SRR6748005.bam	0.7872670016971604	29310	105	29	0.9990105765950188	0.996417604912999	0.0055916973500963	P2	T7	SRR6748048	SRR6748005
F_prausnitzii.fna	SRR6748048.bam	SRR6748005.bam	0.2792153110916082	97763	1239	146	0.9985065924736352	0.9873264936632468	0.0312603221287575	P2	T7	SRR6748048	SRR6748005
G_vaginalis.fna	SRR6748048.bam	SRR6748005.bam		0	0	0			0.0	P2	T7	SRR6748048	SRR6748005
L_crispatus.fna	SRR6748048.bam	SRR6748005.bam	0.5184271141822968	3151	16	2	0.999365280863218	0.9949222469057442	0.0015575407760813	P2	T7	SRR6748048	SRR6748005
L_iners.fna	SRR6748048.bam	SRR6748005.bam		0	0	0			0.0	P2	T7	SRR6748048	SRR6748005
L_jensenii.fna	SRR6748048.bam	SRR6748005.bam	0.4894459102902375	371	6	1	0.9973045822102424	0.9838274932614556	0.0002217640824675	P2	T7	SRR6748048	SRR6748005
P_bivia.fna	SRR6748048.bam	SRR6748005.bam	0.0203607229349547	37995	382	277	0.9927095670482958	0.9899460455323068	0.0150699775269133	P2	T7	SRR6748048	SRR6748005
P_vulgatus.fna	SRR6748048.bam	SRR6748005.bam	0.8435543160484393	3890362	18625	9712	0.997503574217515	0.9952125277801912	0.7534804555866539	P2	T7	SRR6748048	SRR6748005
B_fragilis.fna	SRR6748155.bam	SRR6748005.bam	0.7363182376716696	33192	231	91	0.9972583755121716	0.9930404916847432	0.0063322967739473	T18	T7	SRR6748155	SRR6748005
F_prausnitzii.fna	SRR6748155.bam	SRR6748005.bam	0.2817478399746939	167187	2283	294	0.9982414900680076	0.9863446320587128	0.0540071965662707	T18	T7	SRR6748155	SRR6748005
G_vaginalis.fna	SRR6748155.bam	SRR6748005.bam		0	0	0			0.0	T18	T7	SRR6748155	SRR6748005
L_crispatus.fna	SRR6748155.bam	SRR6748005.bam	0.2772259346216362	1535	12	1	0.9993485342019544	0.9921824104234528	0.0007587512190685	T18	T7	SRR6748155	SRR6748005
L_iners.fna	SRR6748155.bam	SRR6748005.bam	0.012759510680841	3950	89	16	0.9959493670886076	0.9774683544303796	0.0029953742321983	T18	T7	SRR6748155	SRR6748005
L_jensenii.fna	SRR6748155.bam	SRR6748005.bam	0.6245847176079734	376	5	0	1.0	0.9867021276595744	0.0002247528167326	T18	T7	SRR6748155	SRR6748005
P_bivia.fna	SRR6748155.bam	SRR6748005.bam	0.9144022232227556	2119065	13786	11570	0.9945400447839025	0.9934943005523662	0.8404859041470897	T18	T7	SRR6748155	SRR6748005
