genome	s1	s2	subject1	subject2	site1	site2	pair_class	popANI	breadth	shared_strain	bray_curtis	verdict	is_generalist	confidence
G_vaginalis.fna	21C	21V	21	21	cervix	vagina	within_cervix_vagina	1.0	0.9028664884257344	True	0.1547595691262299	contamination_suspect	False	medium
L_iners.fna	1C	1V	1	1	cervix	vagina	within_cervix_vagina	1.0	0.9461970122089935	True	0.438576884193625	contamination_suspect	False	medium
L_iners.fna	36C	36V	36	36	cervix	vagina	within_cervix_vagina	1.0	0.9424812315158868	True	0.4787711806114968	contamination_suspect	False	medium
Megasphaera_lornae.fna	21C	21V	21	21	cervix	vagina	within_cervix_vagina	0.9999993486381652	0.9356759896318048	True	0.1547595691262299	contamination_suspect	False	medium
Prevotella_amnii.fna	21C	21V	21	21	cervix	vagina	within_cervix_vagina	0.9999989835807636	0.8011077210699068	True	0.1547595691262299	contamination_suspect	False	medium
G_vaginalis.fna	29C	29V	29	29	cervix	vagina	within_cervix_vagina	0.9999986866160926	0.9132652755237776	True	0.3189908648547142	contamination_suspect	False	medium
Gardnerella_leopoldii.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999985677589652	0.9104810625744518	True	0.3803243545186398	contamination_suspect	False	medium
Megasphaera_lornae.fna	38C	38V	38	38	cervix	vagina	within_cervix_vagina	0.9999984242749892	0.7735659777899264	True	0.3172712011126508	contamination_suspect	False	medium
Fannyhessea_vaginae.fna	38C	38V	38	38	cervix	vagina	within_cervix_vagina	0.9999984131278756	0.8633980592500745	True	0.3172712011126508	contamination_suspect	False	medium
L_iners.fna	32C	32V	32	32	cervix	vagina	within_cervix_vagina	0.999998354440378	0.9216592098278608	True	0.1590102083383665	contamination_suspect	False	medium
Fannyhessea_vaginae.fna	29C	29V	29	29	cervix	vagina	within_cervix_vagina	0.9999980412512488	0.6994783335445575	True	0.3189908648547142	contamination_suspect	False	medium
Gardnerella_leopoldii.fna	27C	27V	27	27	cervix	vagina	within_cervix_vagina	0.9999978399255206	0.9055440112824532	True	0.217883480906934	contamination_suspect	False	medium
Gardnerella_swidsinskii.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.999997750217104	0.9104348295113552	True	0.2875804750689081	contamination_suspect	False	medium
Gardnerella_swidsinskii.fna	36C	36V	36	36	cervix	vagina	within_cervix_vagina	0.9999976727335916	0.8801230060840765	True	0.4787711806114968	contamination_suspect	False	medium
L_iners.fna	33C	33V	33	33	cervix	vagina	within_cervix_vagina	0.9999975285249412	0.9204898763934176	True	0.47039021941864	contamination_suspect	False	medium
Sneathia_vaginalis.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.9999974232426944	0.8800604720600185	True	0.2148888804022617	contamination_suspect	False	medium
Fannyhessea_vaginae.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.9999968133507856	0.8599015581488547	True	0.2148888804022617	contamination_suspect	False	medium
L_iners.fna	25C	25V	25	25	cervix	vagina	within_cervix_vagina	0.99999675141415	0.9337263972093728	True	0.4129031028323623	contamination_suspect	False	medium
Fannyhessea_vaginae.fna	21C	21V	21	21	cervix	vagina	within_cervix_vagina	0.999996116206217	0.8819355435367136	True	0.1547595691262299	contamination_suspect	False	medium
Aerococcus_christensenii.fna	36C	36V	36	36	cervix	vagina	within_cervix_vagina	0.9999952183172875	0.6730689265856745	True	0.4787711806114968	contamination_suspect	False	medium
L_iners.fna	27C	27V	27	27	cervix	vagina	within_cervix_vagina	0.999994937751214	0.8987973003715781	True	0.217883480906934	contamination_suspect	False	medium
P_bivia.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999948219406614	0.842581303312103	True	0.3803243545186398	contamination_suspect	False	medium
Sneathia_vaginalis.fna	38C	38V	38	38	cervix	vagina	within_cervix_vagina	0.9999945189381648	0.6895568531851768	True	0.3172712011126508	contamination_suspect	False	medium
Sneathia_vaginalis.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.9999941968879844	0.7815469508853488	True	0.2875804750689081	contamination_suspect	False	medium
G_vaginalis.fna	38C	38V	38	38	cervix	vagina	within_cervix_vagina	0.99999364684461	0.9439938443306548	True	0.3172712011126508	contamination_suspect	False	medium
G_vaginalis.fna	27C	27V	27	27	cervix	vagina	within_cervix_vagina	0.9999935630923162	0.9317112928704826	True	0.217883480906934	contamination_suspect	False	medium
Prevotella_amnii.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.999993510565684	0.6901120993529065	True	0.2148888804022617	contamination_suspect	False	medium
Prevotella_amnii.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.9999932368587334	0.8427783572604016	True	0.2875804750689081	contamination_suspect	False	medium
Prevotella_amnii.fna	31C	31V	31	31	cervix	vagina	within_cervix_vagina	0.9999930391132228	0.8188366323129825	True	0.3000974360043508	contamination_suspect	False	medium
Gardnerella_swidsinskii.fna	38C	38V	38	38	cervix	vagina	within_cervix_vagina	0.9999929172785352	0.867582066073439	True	0.3172712011126508	contamination_suspect	False	medium
Aerococcus_christensenii.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999924972865186	0.7721371348240114	True	0.3803243545186398	contamination_suspect	False	medium
L_crispatus.fna	40C	40V	40	40	cervix	vagina	within_cervix_vagina	0.9999923192626492	0.7722703368805982	True	0.2268767375447899	contamination_suspect	True	low_generalist
Megasphaera_lornae.fna	31C	31V	31	31	cervix	vagina	within_cervix_vagina	0.9999915258380456	0.9349629171854724	True	0.3000974360043508	contamination_suspect	False	medium
Fannyhessea_vaginae.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.99999122366101	0.8586225676402386	True	0.3803243545186398	contamination_suspect	False	medium
G_vaginalis.fna	1C	1V	1	1	cervix	vagina	within_cervix_vagina	0.9999893392109817	0.9000969170076154	True	0.438576884193625	contamination_suspect	False	medium
G_vaginalis.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999889400335532	0.8676105279697927	True	0.3803243545186398	contamination_suspect	False	medium
Megasphaera_lornae.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.999988513595436	0.9550721696356688	True	0.2148888804022617	contamination_suspect	False	medium
Fannyhessea_vaginae.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.9999858385867209	0.9191153249368896	True	0.2875804750689081	contamination_suspect	False	medium
