genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
Escherichia_coli.fna	57R.bam	98R.bam	0.8124148472012697	3328595	61959	51564	0.984508779229675	0.9813858399715195	0.646608988628282
Fannyhessea_vaginae.fna	107V.bam	57V.bam	0.8382555269861582	1054647	27870	23629	0.9775953470687349	0.9735740963564112	0.7224871467276819
Fannyhessea_vaginae.fna	107V.bam	98V.bam	0.6844460745359334	839764	19773	15013	0.9821223581863476	0.9764540990087691	0.5752812991310126
Fannyhessea_vaginae.fna	57V.bam	98V.bam	0.7053908450388116	864302	18753	16144	0.9813213436969948	0.9783027228908414	0.5920910844017278
G_vaginalis.fna	57V.bam	98V.bam	0.8853609114662803	1418728	26940	16894	0.9880921501514033	0.9810111592919855	0.8508593587884414
Gardnerella_piotii.fna	107V.bam	57V.bam	0.9161155110321626	1299126	25721	9442	0.9927320367693357	0.9802013045693797	0.8556197702103276
L_iners.fna	57V.bam	98V.bam	0.5834411507061346	737301	6914	6408	0.9913088413009069	0.990622554424855	0.5591120042466065
Megasphaera_lornae.fna	57V.bam	98V.bam	0.9695702840630636	1503238	9652	8778	0.9941606053066779	0.9935791937138364	0.9164559801935409
P_bivia.fna	57R.bam	98R.bam	0.5067572062734464	1139084	9339	2464	0.9978368583879679	0.9918013070151104	0.4517955068105431
P_vulgatus.fna	107R.bam	57R.bam	0.9650769716215727	3966863	1765	1168	0.999705560791991	0.9995550640392673	0.7682970737658451
Prevotella_amnii.fna	107V.bam	57V.bam	0.9396336558562958	1926168	21871	20117	0.9895559473524635	0.9886453310406984	0.7888240830003169
Prevotella_disiens.fna	107R.bam	57R.bam	0.9482755347571336	1990476	19169	13329	0.9933036117993886	0.9903696402267599	0.8375281072856777
Prevotella_disiens.fna	107R.bam	98R.bam	0.7583479824889028	1600035	14498	4941	0.9969119425512567	0.9909389482105079	0.6732431263380414
Prevotella_disiens.fna	57R.bam	98R.bam	0.760897326682574	1555760	13388	6179	0.9960283077081298	0.9913945595721705	0.654613634221546
Segatella_copri.fna	57R.bam	98R.bam	0.6704866927323042	2271154	38909	9852	0.9956621171439718	0.9828681806693865	0.5347952433530118
