genome	s1	s2	subject1	subject2	site1	site2	pair_class	popANI	breadth	shared_strain	bray_curtis	verdict
L_iners.fna	1C	1V	1	1	cervix	vagina	within_cervix_vagina	1.0	0.9461970122089935	True	0.438576884193625	contamination_suspect
Lactobacillus_mulieris.fna	18C	18V	18	18	cervix	vagina	within_cervix_vagina	0.9999993268794536	0.8678055405464609	True	0.367338612932385	contamination_suspect
Gardnerella_leopoldii.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999985677589652	0.9104810625744518	True	0.38032435451863983	contamination_suspect
Fannyhessea_vaginae.fna	13C	13V	13	13	cervix	vagina	within_cervix_vagina	0.9999984138037146	0.8637659317209513	True	0.2690404244008342	contamination_suspect
Megasphaera_lornae.fna	13C	13V	13	13	cervix	vagina	within_cervix_vagina	0.9999968215948474	0.9587569867386808	True	0.2690404244008342	contamination_suspect
Sneathia_vaginalis.fna	13C	13V	13	13	cervix	vagina	within_cervix_vagina	0.9999966121103504	0.8924738741803201	True	0.2690404244008342	contamination_suspect
L_iners.fna	18C	18V	18	18	cervix	vagina	within_cervix_vagina	0.9999958962506504	0.9239387275346932	True	0.367338612932385	contamination_suspect
P_bivia.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999948219406614	0.842581303312103	True	0.38032435451863983	contamination_suspect
P_bivia.fna	13C	13V	13	13	cervix	vagina	within_cervix_vagina	0.9999946371854876	0.8875128012508141	True	0.2690404244008342	contamination_suspect
Gardnerella_piotii.fna	13C	13V	13	13	cervix	vagina	within_cervix_vagina	0.9999934338681084	0.902739495964356	True	0.2690404244008342	contamination_suspect
Aerococcus_christensenii.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999924972865186	0.7721371348240114	True	0.38032435451863983	contamination_suspect
Fannyhessea_vaginae.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.99999122366101	0.8586225676402386	True	0.38032435451863983	contamination_suspect
G_vaginalis.fna	13C	13V	13	13	cervix	vagina	within_cervix_vagina	0.9999909800019704	0.8643617691192187	True	0.2690404244008342	contamination_suspect
G_vaginalis.fna	1C	1V	1	1	cervix	vagina	within_cervix_vagina	0.9999893392109817	0.9000969170076154	True	0.438576884193625	contamination_suspect
G_vaginalis.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999889400335532	0.8676105279697927	True	0.38032435451863983	contamination_suspect
Gardnerella_piotii.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.999978807642267	0.8701783850178978	True	0.38032435451863983	contamination_suspect
L_iners.fna	16C	16V	16	16	cervix	vagina	within_cervix_vagina	1.0	0.7186820353378327	True	0.9447193183064269	translocation_candidate
L_iners.fna	2C	2V	2	2	cervix	vagina	within_cervix_vagina	1.0	0.7927565026162129	True	0.9171603139616661	translocation_candidate
Megasphaera_lornae.fna	9C	9V	9	9	cervix	vagina	within_cervix_vagina	1.0	0.9464555728440072	True	0.6131283129811648	translocation_candidate
Prevotella_amnii.fna	7C	7V	7	7	cervix	vagina	within_cervix_vagina	1.0	0.8019705330951821	True	0.8104106945069304	translocation_candidate
Gardnerella_leopoldii.fna	15C	15V	15	15	cervix	vagina	within_cervix_vagina	0.9999992774368084	0.9023628341491118	True	0.5277319894136273	translocation_candidate
Gardnerella_swidsinskii.fna	7C	7V	7	7	cervix	vagina	within_cervix_vagina	0.9999992028525124	0.8565042812480584	True	0.8104106945069304	translocation_candidate
L_iners.fna	10C	10V	10	10	cervix	vagina	within_cervix_vagina	0.9999991873777004	0.9331796466216729	True	0.747316975928741	translocation_candidate
L_iners.fna	8C	8V	8	8	cervix	vagina	within_cervix_vagina	0.999999171560672	0.9153628573595208	True	0.6898164432169075	translocation_candidate
Gardnerella_leopoldii.fna	4C	4V	4	4	cervix	vagina	within_cervix_vagina	0.9999991023516592	0.7263581292148641	True	0.9138911274781972	translocation_candidate
Sneathia_vaginalis.fna	7C	7V	7	7	cervix	vagina	within_cervix_vagina	0.9999982134051782	0.8461915830451462	True	0.8104106945069304	translocation_candidate
G_vaginalis.fna	4C	4V	4	4	cervix	vagina	within_cervix_vagina	0.9999979572520956	0.8807752880822067	True	0.9138911274781972	translocation_candidate
Mobiluncus_curtisii.fna	9C	9V	9	9	cervix	vagina	within_cervix_vagina	0.999997360864792	0.957075669477098	True	0.6131283129811648	translocation_candidate
Aerococcus_christensenii.fna	4C	4V	4	4	cervix	vagina	within_cervix_vagina	0.9999953002925098	0.6848090135855187	True	0.9138911274781972	translocation_candidate
