genome	s1	s2	subject1	subject2	site1	site2	pair_class	popANI	breadth	shared_strain	bray_curtis
Aerococcus_christensenii.fna	11V	12V	11	12	vagina	vagina	other	0.9947496190521607	0.5668880498157143	False	0.6494060168717264
Aerococcus_christensenii.fna	11V	13C	11	13	vagina	cervix	between_cervix_vagina	0.994707272210487	0.5140708537648223	False	0.7966159204251014
Aerococcus_christensenii.fna	11V	3C	11	3	vagina	cervix	between_cervix_vagina	0.9940826691787412	0.6457112217955336	False	0.6044477062880822
Aerococcus_christensenii.fna	11V	3V	11	3	vagina	vagina	other	0.9938739560946408	0.7871001296372346	False	0.7765881538326422
Aerococcus_christensenii.fna	11V	4C	11	4	vagina	cervix	between_cervix_vagina	0.9941021610428018	0.5728671971451487	False	0.7378499913916168
Aerococcus_christensenii.fna	11V	4V	11	4	vagina	vagina	other	0.9937524765013216	0.7878680403664858	False	0.8942090154818437
Aerococcus_christensenii.fna	11V	9V	11	9	vagina	vagina	other	0.994678037843041	0.7776953151652392	False	0.780499591459459
Aerococcus_christensenii.fna	12V	13C	12	13	vagina	cervix	between_cervix_vagina	0.9999394294251852	0.4463318584469536	False	0.7704614714608726
Aerococcus_christensenii.fna	12V	3C	12	3	vagina	cervix	between_cervix_vagina	0.9934808927347678	0.5513502483962702	False	0.635778190142288
Aerococcus_christensenii.fna	12V	3V	12	3	vagina	vagina	other	0.9933071610784198	0.6704324116258981	False	0.6885424423465604
Aerococcus_christensenii.fna	12V	4C	12	4	vagina	cervix	between_cervix_vagina	0.993613215047914	0.492224984326382	False	0.6733534791262362
Aerococcus_christensenii.fna	12V	4V	12	4	vagina	vagina	other	0.9932414453218472	0.6724851084537123	False	0.7572363984748218
Aerococcus_christensenii.fna	12V	9V	12	9	vagina	vagina	other	0.994759969846844	0.6651735426753675	False	0.5297293737773033
Aerococcus_christensenii.fna	13C	3C	13	3	cervix	cervix	other	0.9933807685749276	0.498278154902978	False	0.7159985571382507
Aerococcus_christensenii.fna	13C	3V	13	3	cervix	vagina	between_cervix_vagina	0.9932789266655984	0.606610211603498	False	0.5227860590496283
Aerococcus_christensenii.fna	13C	4C	13	4	cervix	cervix	other	0.9934495335869812	0.4418969004213532	False	0.9167831624262411
Aerococcus_christensenii.fna	13C	4V	13	4	cervix	vagina	between_cervix_vagina	0.993101042718149	0.6089763807910318	False	0.7921837474486005
