genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared	site	subject1	subject2	sample1	sample2
L_crispatus.fna	SRR6748176.bam	SRR6748217.bam		0	0	0			0.0	vagina	M4	P2	SRR6748176	SRR6748217
L_iners.fna	SRR6748176.bam	SRR6748217.bam		0	0	0			0.0	vagina	M4	P2	SRR6748176	SRR6748217
P_bivia.fna	SRR6748176.bam	SRR6748217.bam		0	0	0			0.0	vagina	M4	P2	SRR6748176	SRR6748217
L_crispatus.fna	SRR6748176.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748176	SRR6748219
L_iners.fna	SRR6748176.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748176	SRR6748219
L_jensenii.fna	SRR6748176.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748176	SRR6748219
P_bivia.fna	SRR6748176.bam	SRR6748219.bam		0	0	0			0.0	vagina	M4	P2	SRR6748176	SRR6748219
B_fragilis.fna	SRR6748176.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6747944
F_prausnitzii.fna	SRR6748176.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6747944
L_crispatus.fna	SRR6748176.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6747944
L_iners.fna	SRR6748176.bam	SRR6747944.bam	0.0004884854088508	597	0	0	1.0	1.0	0.0004527185864866	vagina	M4	T18	SRR6748176	SRR6747944
L_jensenii.fna	SRR6748176.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6747944
P_bivia.fna	SRR6748176.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6747944
P_vulgatus.fna	SRR6748176.bam	SRR6747944.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6747944
B_fragilis.fna	SRR6748176.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6748192
F_prausnitzii.fna	SRR6748176.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6748192
L_crispatus.fna	SRR6748176.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6748192
L_iners.fna	SRR6748176.bam	SRR6748192.bam	0.0004876044735464	597	0	0	1.0	1.0	0.0004527185864866	vagina	M4	T18	SRR6748176	SRR6748192
L_jensenii.fna	SRR6748176.bam	SRR6748192.bam	0.0344522968197879	78	3	0	1.0	0.9615384615384616	4.662425453495594e-05	vagina	M4	T18	SRR6748176	SRR6748192
P_bivia.fna	SRR6748176.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6748192
P_vulgatus.fna	SRR6748176.bam	SRR6748192.bam		0	0	0			0.0	vagina	M4	T18	SRR6748176	SRR6748192
B_fragilis.fna	SRR6748176.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748176	SRR6748065
F_prausnitzii.fna	SRR6748176.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748176	SRR6748065
L_crispatus.fna	SRR6748176.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748176	SRR6748065
L_iners.fna	SRR6748176.bam	SRR6748065.bam	0.0004816625344808	597	0	0	1.0	1.0	0.0004527185864866	vagina	M4	T7	SRR6748176	SRR6748065
L_jensenii.fna	SRR6748176.bam	SRR6748065.bam		0	0	0			0.0	vagina	M4	T7	SRR6748176	SRR6748065
