genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared	site	subject1	subject2	sample1	sample2
B_fragilis.fna	SRR6747963.bam	SRR6748048.bam	0.8530359038875692	32020	187	97	0.9969706433479076	0.9941599000624608	0.0061087051910639	gut	M4	P2	SRR6747963	SRR6748048
F_prausnitzii.fna	SRR6747963.bam	SRR6748048.bam	0.1961965021302781	103616	1320	253	0.9975582921556516	0.987260654725139	0.0331490475439421	gut	M4	P2	SRR6747963	SRR6748048
G_vaginalis.fna	SRR6747963.bam	SRR6748048.bam		0	0	0			0.0	gut	M4	P2	SRR6747963	SRR6748048
L_crispatus.fna	SRR6747963.bam	SRR6748048.bam	0.4068276436303081	2443	37	2	0.9991813344248874	0.9848546868604175	0.0012075760444198	gut	M4	P2	SRR6747963	SRR6748048
L_jensenii.fna	SRR6747963.bam	SRR6748048.bam		0	0	0			0.0	gut	M4	P2	SRR6747963	SRR6748048
P_bivia.fna	SRR6747963.bam	SRR6748048.bam	0.571939268177429	27838	155	0	1.0	0.9944320712694876	0.0110414010894647	gut	M4	P2	SRR6747963	SRR6748048
P_vulgatus.fna	SRR6747963.bam	SRR6748048.bam	0.8933881682328381	4136079	16659	6499	0.998428705061001	0.99597227228977	0.8010706174033141	gut	M4	P2	SRR6747963	SRR6748048
B_fragilis.fna	SRR6747963.bam	SRR6748052.bam	0.8557997398001672	31304	234	109	0.996518016866854	0.9925249169435216	0.0059721082854799	gut	M4	P2	SRR6747963	SRR6748052
F_prausnitzii.fna	SRR6747963.bam	SRR6748052.bam	0.3278921730431688	709453	14961	8542	0.9879597379953288	0.9789119222837876	0.226969688341495	gut	M4	P2	SRR6747963	SRR6748052
G_vaginalis.fna	SRR6747963.bam	SRR6748052.bam		0	0	0			0.0	gut	M4	P2	SRR6747963	SRR6748052
L_crispatus.fna	SRR6747963.bam	SRR6748052.bam	0.5	1927	9	1	0.9994810586403736	0.9953295277633628	0.0009525170027003	gut	M4	P2	SRR6747963	SRR6748052
L_jensenii.fna	SRR6747963.bam	SRR6748052.bam		0	0	0			0.0	gut	M4	P2	SRR6747963	SRR6748052
P_bivia.fna	SRR6747963.bam	SRR6748052.bam	0.5541614136198996	27692	151	0	1.0	0.9945471616351292	0.0109834930300114	gut	M4	P2	SRR6747963	SRR6748052
P_vulgatus.fna	SRR6747963.bam	SRR6748052.bam	0.894374563689005	4129178	16924	6391	0.9984522343187918	0.9959013634190632	0.7997340403382484	gut	M4	P2	SRR6747963	SRR6748052
B_fragilis.fna	SRR6747963.bam	SRR6748114.bam	0.2644929516482685	20494	239	64	0.9968771347711526	0.9883380501610228	0.0039098002556422	gut	M4	T18	SRR6747963	SRR6748114
F_prausnitzii.fna	SRR6747963.bam	SRR6748114.bam	0.2178174895987322	303917	5230	1568	0.9948406966375688	0.9827913542184216	0.0981757263353687	gut	M4	T18	SRR6747963	SRR6748114
G_vaginalis.fna	SRR6747963.bam	SRR6748114.bam		0	0	0			0.0	gut	M4	T18	SRR6747963	SRR6748114
L_crispatus.fna	SRR6747963.bam	SRR6748114.bam	0.4681488883337497	1874	23	3	0.9983991462113126	0.987726787620064	0.0009263190778725	gut	M4	T18	SRR6747963	SRR6748114
L_jensenii.fna	SRR6747963.bam	SRR6748114.bam		0	0	0			0.0	gut	M4	T18	SRR6747963	SRR6748114
